"Style","amount"
"Abbey Dubbel",20
"Abbey Quadrupel",20
"Abbey Tripel",22
"All",1892
"Amber Ale",16
"American Barleywine",86
"American Black Ale",30
"American Pale Ale",40
"Baltic Porter",16
"Belgian Ale",34
"Belgian Strong Ale",88
"Brown Ale",22
"English Barleywine",44
"Fruit Beer",20
"Imperial IPA",244
"Imperial Porter",54
"Imperial Stout",312
"IPA",152
"Old Ale",20
"Porter",64
"Saison",40
"Scottish Ale",26
"Smoked Ale",22
"Spiced Beer",42
"Stout",36
"Strong Ale",122
"Weizenbock",20
"Wild Ale",46
