createDate,id,name
2012-03-21 20:06:45,1,British Origin Ales
2012-03-21 20:06:45,2,Irish Origin Ales
2012-03-21 20:06:45,3,North American Origin Ales
2012-03-21 20:06:46,4,German Origin Ales
2012-03-21 20:06:46,5,Belgian And French Origin Ales
2012-03-21 20:06:46,6,International Ale Styles
2012-03-21 20:06:46,7,European-germanic Lager
2012-03-21 20:06:46,8,North American Lager
2012-03-21 20:06:46,9,Other Lager
2012-03-21 20:06:46,10,International Styles
2012-03-21 20:06:46,11,Hybrid/mixed Beer
2012-03-21 20:06:46,12,"Mead, Cider, & Perry"
2013-08-10 12:44:20,13,Other Origin
2014-07-10 14:11:26,14,Malternative Beverages
2014-08-28 03:01:28,15,""""""
